Timestamp,Mode,Alarm,Temp,Date
2022-08-16 11:24:21,1,1,29.5,2022-08-16
2022-08-16 12:16:09,1,0,29.2,2022-08-16
2022-08-16 12:16:53,1,1,29.2,2022-08-16
2022-08-16 12:17:12,1,0,29.2,2022-08-16
2022-08-16 17:37:52,1,1,25.7,2022-08-16
2022-08-16 22:58:13,1,1,22.9,2022-08-16
2022-08-17 04:18:14,1,1,21.8,2022-08-17
2022-08-17 09:38:11,1,1,23.9,2022-08-17
2022-08-17 14:58:37,1,1,25.0,2022-08-17
2022-08-17 20:18:57,1,1,22.2,2022-08-17
2022-08-17 20:19:08,1,1,22.2,2022-08-17
2022-08-18 01:38:47,1,1,20.8,2022-08-18
2022-08-18 06:58:31,1,1,20.8,2022-08-18
2022-08-18 06:58:43,1,1,20.8,2022-08-18
2022-08-18 12:18:37,1,1,23.6,2022-08-18
2022-08-18 17:39:03,1,1,27.4,2022-08-18
2022-08-18 22:59:26,1,1,22.5,2022-08-18
2022-08-19 04:19:23,1,1,21.5,2022-08-19
2022-08-19 09:39:21,1,1,23.6,2022-08-19
2022-08-19 15:00:06,1,1,28.1,2022-08-19
2022-08-19 20:20:50,1,1,23.9,2022-08-19
2022-08-20 01:40:46,1,1,20.4,2022-08-20
2022-08-20 07:00:17,1,1,19.4,2022-08-20
2022-08-20 12:20:17,1,1,26.0,2022-08-20
2022-08-20 17:41:10,1,1,29.2,2022-08-20
2022-08-20 23:01:40,1,1,22.5,2022-08-20
2022-08-20 23:01:52,1,1,22.5,2022-08-20
2022-08-21 04:21:32,1,1,20.4,2022-08-21
2022-08-21 09:41:15,1,1,22.5,2022-08-21
2022-08-21 15:01:34,1,1,26.7,2022-08-21
2022-08-21 20:22:04,1,1,23.6,2022-08-21
2022-08-22 01:41:56,1,1,20.4,2022-08-22
2022-08-22 07:01:23,1,1,19.4,2022-08-22
2022-08-22 12:02:19,1,0,19.4,2022-08-22
2022-08-22 12:03:02,1,1,26.0,2022-08-22
2022-08-22 17:23:27,1,1,27.1,2022-08-22
2022-08-22 22:43:46,1,1,23.2,2022-08-22
2022-08-23 04:03:41,1,1,22.2,2022-08-23
2022-08-23 09:23:40,1,1,23.9,2022-08-23
2022-08-23 11:53:46,1,0,23.9,2022-08-23
2022-08-23 12:39:09,1,0,26.4,2022-08-23
2022-08-23 12:39:39,1,0,27.8,2022-08-23
2022-08-23 12:39:54,1,1,27.8,2022-08-23
2022-08-23 12:45:12,1,0,27.8,2022-08-23
2022-08-23 12:45:56,1,1,27.8,2022-08-23
2022-08-23 14:37:08,1,0,29.2,2022-08-23
2022-08-23 14:37:31,1,1,29.2,2022-08-23
2022-08-23 15:06:48,1,0,29.2,2022-08-23
2022-08-23 15:07:29,1,1,28.8,2022-08-23
2022-08-23 15:08:03,1,0,28.8,2022-08-23
2022-08-23 15:08:45,1,1,28.8,2022-08-23
2022-08-23 20:29:16,1,1,25.7,2022-08-23
2022-08-24 01:49:33,1,1,23.2,2022-08-24
2022-08-24 07:09:38,1,1,23.2,2022-08-24
2022-08-24 12:30:10,1,1,29.5,2022-08-24
2022-08-24 17:51:31,1,1,32.0,2022-08-24
2022-08-24 23:12:21,1,1,25.3,2022-08-24
2022-08-25 04:32:42,1,1,23.9,2022-08-25
2022-08-25 09:52:54,1,1,24.6,2022-08-25
2022-08-25 12:47:49,1,0,24.6,2022-08-25
2022-08-25 12:48:32,1,1,24.3,2022-08-25
2022-08-25 18:08:35,1,1,25.0,2022-08-25
2022-08-25 23:28:28,1,1,20.8,2022-08-25
2022-08-26 04:48:00,1,1,18.0,2022-08-26
2022-08-26 10:07:21,1,1,22.2,2022-08-26
2022-08-26 15:27:48,1,1,26.7,2022-08-26
2022-08-26 20:48:20,1,1,22.9,2022-08-26
2022-08-27 02:08:09,1,1,20.8,2022-08-27
2022-08-27 07:27:49,1,1,19.7,2022-08-27
2022-08-27 12:47:51,1,1,26.0,2022-08-27
